PGN,Label,InDBC
F069,Engine Gaseous Fuel Valve Start of Actuation Command 1,J1939 DBC
F06A,Engine Gaseous Fuel Valve Start of Actuation Command 2,J1939 DBC
F06B,Engine Gaseous Fuel Valve Start of Actuation Command 3,J1939 DBC
F06C,Engine Gaseous Fuel Valve Start of Actuation Command 4,J1939 DBC
F06D,Engine Gaseous Fuel Valve Start of Actuation Command 5,J1939 DBC
F06E,Fuel Pump Actuator Control Command,J1939 DBC
F06F,Power Converter 1 Control 1,J1939 DBC
F070,Power Converter 2 Control 1,J1939 DBC
F071,Power Converter 1 Rate Limits Request 1,J1939 DBC
F072,Power Converter 2 Rate Limits Request 1,J1939 DBC
F073,Power Converter 2 Control 2,J1939 DBC
F074,Power Converter 1 Control 2,J1939 DBC
F075,Power Converter 1 Mode Feedback 1,J1939 DBC
F076,Power Converter 1 Limits Active Power,J1939 DBC
F077,Power Converter 1 Limits Active Electrical,J1939 DBC
F078,Power Converter 1 Limits Active DC Energy Source 1,J1939 DBC
F079,Power Converter 1 Low Voltage,J1939 DBC
F07A,Power Converter 2 Mode Feedback 1,J1939 DBC
F07B,Power Converter 2 Limits Active Power,J1939 DBC
F07C,Power Converter 2 Limits Active Electrical,J1939 DBC
F07D,Power Converter 2 Limits Active DC Energy Source 1,J1939 DBC
F07E,Power Converter 2 Low Voltage,J1939 DBC
F07F,Power Converter 1 Status 2,J1939 DBC
F080,Power Converter 1 Rate Limits Active 1,J1939 DBC
F081,Power Converter 2 Status 2,J1939 DBC
F082,Power Converter 2 Rate Limits Active 1,J1939 DBC
F083,Power Converter 2 Isolation Integrity,J1939 DBC
F084,Power Converter 1 Isolation Integrity,J1939 DBC
F085,Power Converter 2 Status 1,J1939 DBC
F086,Power Converter 1 Status 1,J1939 DBC
F090,High Voltage Energy Storage 1 Data 1,J1939 DBC
F091,High Voltage Energy Storage 1 Data 2,J1939 DBC
F092,High Voltage Energy Storage 1 Data 3,J1939 DBC
F093,High Voltage Energy Storage 1 Data 4,J1939 DBC
F094,High Voltage Energy Storage 1 Data 5,J1939 DBC
F095,High Voltage Energy Storage 1 Data 6,J1939 DBC
F096,High Voltage Energy Storage 1 Status 1,J1939 DBC
F0A0,High Voltage Energy Storage 1 Data 7,J1939 DBC
F0C8,DC/AC Accessory Inverter 1 Status 2,J1939 DBC
F0C9,DC/AC Accessory Inverter 1 Voltage,J1939 DBC
F0CA,DC/AC Accessory Inverter 1 Feedback 2,J1939 DBC
F0CB,DC/AC Accessory Inverter 2 Status 2,J1939 DBC
F0CC,DC/AC Accessory Inverter 2 Voltage,J1939 DBC
F0CD,DC/AC Accessory Inverter 2 Feedback 2,J1939 DBC
F0D0,Engine Cylinder Combustion Request,J1939 DBC
F0D1,Engine Cylinder Head Bypass Actuator 1,J1939 DBC
F0D2,Engine Electronic Controller 18,J1939 DBC
F0D3,Predictive Cruise Control 1,J1939 DBC
F0D6,DC/AC Accessory Inverter 1 Command,J1939 DBC
F0D7,DC/AC Accessory Inverter 1 Feedback,J1939 DBC
F0DA,DC/AC Accessory Inverter 2 Command,J1939 DBC
F0DB,DC/AC Accessory Inverter 2 Feedback,J1939 DBC
F0DE,DC/AC Accessory Inverter 3 Command,J1939 DBC
F0DF,DC/AC Accessory Inverter 3 Feedback,J1939 DBC
F0E2,DC/AC Accessory Inverter 4 Command,J1939 DBC
F0E3,DC/AC Accessory Inverter 4 Feedback,J1939 DBC
F0E4,Heartbeat Message,ISOBUS DBC (2022-08)
F0E5,Engine Ignition Timing Offset 1,J1939 DBC
F0E6,Engine Ignition Timing Offset 2,J1939 DBC
F0E7,Engine Ignition Timing Offset 3,J1939 DBC
F0E8,Engine Throttle / Fuel Actuator Control Command 2,J1939 DBC
F0E9,Aftertreatment 1 Intake Gas 3,J1939 DBC
F0EA,Aftertreatment 1 Outlet Gas 3,J1939 DBC
F0EB,Aftertreatment 2 Intake Gas Sensor 2,J1939 DBC
F0EC,Aftertreatment 2 Outlet Gas Sensor 2,J1939 DBC
F0ED,Engine Start Control,J1939 DBC
F0F5,Engine Start Arbitrator,J1939 DBC
F0F6,Advanced Driver Assistance Systems Interface Specification 1,No
F0F7,Advanced Driver Assistance Systems Interface Specification 2,No
F0F8,Advanced Driver Assistance Systems Interface Specification 3,No
F0F9,Engine Valve Controller,J1939 DBC
F0FA,Electronic Transmission Controller 13,J1939 DBC
F0FB,Aftertreatment 1 SCR Dosing System Requests 3,J1939 DBC
F0FC,Aftertreatment 2 SCR Dosing System Requests 3,J1939 DBC
F0FD,Aftertreatment 1 SCR Dosing System Information 4,J1939 DBC
F0FE,Aftertreatment 2 SCR Dosing System Information 4,J1939 DBC
F0FF,Secondary or Front Hitch Roll and Pitch,ISOBUS DBC (2022-08)
F100,Secondary or Front Hitch Roll and Pitch command,ISOBUS DBC (2022-08)
F101,Primary or Rear Hitch Roll and Pitch,ISOBUS DBC (2022-08)
F102,Primary or Rear Hitch Roll and Pitch command,ISOBUS DBC (2022-08)
F103,Generator Trip Energy,J1939 DBC
F104,Engine Speed Sensor Information 2,J1939 DBC
F105,Hydraulic Pressure Displacement,J1939 DBC
F106,Well Stimulation Pump System 1,J1939 DBC
F107,Well Stimulation Pump System 2,J1939 DBC
F108,High Voltage Energy Storage 1 Module Status 1,J1939 DBC
F109,High Voltage Energy Storage 1 Thermal Management System Status 1,J1939 DBC
F10A,High Voltage Energy Storage 1 Data 8,J1939 DBC
F10B,High Voltage Energy Storage 1 Data 9,J1939 DBC
F10C,High Voltage Energy Storage 1 Data 10,J1939 DBC
F10D,Fuel Information 6 (Gaseous),J1939 DBC
F10E,Dump Truck Body Information,J1939 DBC
F10F,Engine Operating Information 2,J1939 DBC
F110,Brakes 2,J1939 DBC
F111,Gaseous Fuel Pressure 3,J1939 DBC
F112,DC/DC Converter 1 Control,J1939 DBC
F113,DC/DC Converter 1 Operating Status,J1939 DBC
F114,DC/DC Converter 1 Voltage and Current,J1939 DBC
F115,DC/DC Converter 1 SLI Battery Status,J1939 DBC
F116,Well Stimulation Pump System 3,J1939 DBC
F117,DC/DC Converter 1 Status 2,J1939 DBC
F118,DC/DC Converter 2 Control,J1939 DBC
F119,DC/DC Converter 2 Operating Status,J1939 DBC
F11A,DC/DC Converter 2 Voltage and Current,J1939 DBC
F11B,DC/DC Converter 2 SLI Battery Status,J1939 DBC
F11C,DC/DC Converter 2 Status 2,J1939 DBC
F11D,DC/DC Converter 3 Control,J1939 DBC
F11E,DC/DC Converter 3 Operating Status,J1939 DBC
F11F,DC/DC Converter 3 Voltage and Current,J1939 DBC
F120,DC/DC Converter 3 SLI Battery Status,J1939 DBC
F121,DC/DC Converter 3 Status 2,J1939 DBC
F122,DC/DC Converter 4 Control,J1939 DBC
F123,DC/DC Converter 4 Operating Status,J1939 DBC
F124,DC/DC Converter 4 Voltage and Current,J1939 DBC
F125,DC/DC Converter 4 SLI Battery Status,J1939 DBC
F126,DC/DC Converter 4 Status 2,J1939 DBC
F127,Slope Sensor Information 3,J1939 DBC
F128,DC/AC Accessory Inverter 3 Status 2,J1939 DBC
F129,DC/AC Accessory Inverter 3 Voltage,J1939 DBC
